City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Takoradi,GH,85.82,light rain,4.8845,-1.7554,Raybow International Hotel
376,Kismayo,SO,83.37,light rain,-0.3582,42.5454,Agan-Hotel
378,Calvinia,ZA,84.29,overcast clouds,-31.4707,19.776,Die Lemoenhuis
379,Port Moresby,PG,75.2,haze,-9.4431,147.1797,Lamana Hotel
381,Nouadhibou,MR,75.2,clear sky,20.930999999999997,-17.0347,El Medina
382,Howard Springs,AU,75.2,broken clouds,-12.497,131.047,buffalo beach hostel
383,Cabo San Lucas,MX,80.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
384,Isangel,VU,78.17,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
385,Boma,GH,94.33,overcast clouds,7.0805,-2.1697,Obaatanpa Hotel
387,Kaeo,NZ,66.99,overcast clouds,-35.1,173.7833,Bushido Lodge
389,Waipawa,NZ,62.6,few clouds,-41.4122,175.5153,Tora Coastal Walk
391,Mar Del Plata,AR,68.0,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
392,Ratnagiri,IN,80.65,clear sky,16.9833,73.3,Hotel Landmark
393,Codajas,BR,90.97,overcast clouds,-3.8367,-62.0569,Hotel Tamires
396,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
397,Broome,US,60.01,overcast clouds,42.2506,-75.833,Chenango Valley State Park
398,Metapan,SV,77.0,scattered clouds,14.3333,-89.45,Hotel San José
399,Aquiraz,BR,89.6,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
402,Tarakan,ID,80.65,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
407,Bosaso,SO,82.4,few clouds,11.2842,49.1816,Red Sea Hotel
408,Bubaque,GW,77.5,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
409,Meulaboh,ID,80.08,overcast clouds,4.1363,96.1285,Kost Pria
410,Saint George,US,60.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
413,Puerto Penasco,MX,68.0,clear sky,31.3167,-113.5333,Playa Bonita Resort
415,Huntsville,US,72.0,broken clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
416,Saint-Francois,FR,66.2,clear sky,46.4154,3.9054,Manoir Du Bonheur
419,Umm Lajj,SA,76.42,clear sky,25.0213,37.2685,Moon light Furnished Units
421,Twentynine Palms,US,66.0,clear sky,34.1356,-116.0542,Holiday Inn Express & Suites Twentynine Palms- Joshua Tree
423,Tomatlan,MX,77.77,clear sky,19.9333,-105.25,Norma franco
424,Caravelas,BR,82.24,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
425,Buala,SB,75.33,heavy intensity rain,-8.145,159.5921,Maringe Lagoon Lodge
426,Joao Pinheiro,BR,77.72,few clouds,-17.7425,-46.1725,Hotel Santos
429,Nushki,PK,77.43,clear sky,29.5542,66.0215,Jahangir Hotel Noshki
430,Pueblo Nuevo Vinas,GT,84.2,clear sky,14.2258,-90.4742,Ministerio Publico
431,Hambantota,LK,80.6,few clouds,6.1241,81.1185,Bungalow 63
432,Trairi,BR,86.5,scattered clouds,-3.2778,-39.2689,janelas do mar
436,Mandurah,AU,66.0,clear sky,-32.55,115.7,Atrium Hotel Mandurah
437,Iracoubo,GF,74.21,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
438,Grand Gaube,MU,78.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
439,Kiama,AU,66.99,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
442,Fredonia,US,64.99,overcast clouds,42.4401,-79.3317,Best Western Dunkirk & Fredonia Inn
443,Riberalta,BO,82.4,broken clouds,-10.9833,-66.1,Hotel Colonial
444,Port-Gentil,GA,89.6,scattered clouds,-0.7193,8.7815,Fengshui Residence
446,Lawrenceburg,US,70.0,clear sky,38.0373,-84.8966,Best Western Lawrenceburg Inn
