City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Cherskiy,RU,68.75,161.3,-6.0,85,100,4.29,overcast clouds
179,Bengkulu,ID,-3.8004,102.2655,77.2,89,85,5.73,overcast clouds
180,Andenes,NO,69.3143,16.1194,33.8,47,0,5.75,clear sky
181,Tucano,BR,-10.9631,-38.7867,90.12,39,78,8.5,broken clouds
182,Aizkraukle,LV,56.6048,25.2553,42.01,72,100,8.99,overcast clouds
183,Pahrump,US,36.2083,-115.9839,64.0,16,0,2.24,clear sky
184,Itoman,JP,26.1247,127.6694,71.6,68,75,11.5,broken clouds
185,Kasungu,MW,-13.0333,33.4833,69.21,79,97,4.56,overcast clouds
186,Iskateley,RU,67.6803,53.1512,35.55,74,100,22.08,overcast clouds
187,Chernomorskiy,RU,44.8506,38.4936,41.0,87,75,13.42,light rain
188,Hualmay,PE,-11.0964,-77.6139,71.53,81,82,5.88,broken clouds
189,Namibe,AO,-15.1961,12.1522,87.8,62,40,13.8,scattered clouds
190,Dzierzoniow,PL,50.7282,16.6514,50.0,48,99,14.2,overcast clouds
191,Amapa,BR,1.0,-52.0,75.2,96,100,4.94,overcast clouds
192,Nuuk,GL,64.1835,-51.7216,35.6,87,75,17.27,light snow
193,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.84,82,100,4.29,overcast clouds
194,Lata,PT,40.1629,-8.3327,66.0,82,98,8.99,light rain
195,Laiyang,CN,36.9758,120.7136,48.99,65,99,5.57,overcast clouds
196,Hasaki,JP,35.7333,140.8333,43.0,75,75,8.05,broken clouds
197,Sigli,ID,5.3848,95.9609,81.19,78,100,1.3,light rain
198,Rovaniemi,FI,66.5,25.7167,30.2,86,90,14.97,snow
199,Manokwari,ID,-0.8667,134.0833,79.83,82,100,8.52,moderate rain
200,Vao,NC,-22.6667,167.4833,77.58,87,90,21.56,overcast clouds
201,Bukachacha,RU,52.9833,116.9167,36.1,96,100,3.53,overcast clouds
202,Viedma,AR,-40.8135,-62.9967,70.92,31,4,8.43,clear sky
203,Sao Filipe,CV,14.8961,-24.4956,77.76,56,0,12.95,clear sky
204,Santiago De Chuco,PE,-8.15,-78.1833,59.72,63,77,3.04,light rain
205,Garissa,KE,-0.4536,39.6401,93.47,38,47,7.52,scattered clouds
206,Oranjemund,NA,-28.55,16.4333,69.17,64,10,13.04,clear sky
207,Tocopilla,CL,-22.092,-70.1979,70.9,67,100,7.92,overcast clouds
208,Upernavik,GL,72.7868,-56.1549,30.18,93,100,13.56,overcast clouds
209,Christchurch,NZ,-43.5333,172.6333,62.01,67,100,5.75,overcast clouds
210,Plettenberg Bay,ZA,-34.0527,23.3716,66.25,72,92,2.77,overcast clouds
211,Turukhansk,RU,65.8167,87.9833,17.69,96,82,4.14,broken clouds
212,Cidreira,BR,-30.1811,-50.2056,79.93,57,8,9.08,clear sky
213,Saint Anthony,US,45.0205,-93.218,51.01,87,90,4.61,moderate rain
214,Plymouth,US,41.8334,-70.8328,62.01,62,1,4.61,clear sky
215,Pritzwalk,DE,53.1494,12.1741,55.0,52,100,7.0,overcast clouds
216,Jutai,BR,-5.1833,-68.9,84.88,68,100,1.34,overcast clouds
217,Kieta,PG,-6.2167,155.6333,79.03,88,100,9.64,light rain
218,Saskylakh,RU,71.9167,114.0833,-20.31,100,96,4.97,overcast clouds
219,Kortkeros,RU,61.8106,51.5806,42.8,45,40,8.95,scattered clouds
220,Guerrero Negro,MX,27.9769,-114.0611,62.35,74,9,17.11,clear sky
221,Fortuna,US,40.5982,-124.1573,46.99,87,75,6.91,broken clouds
222,Vigrestad,NO,58.5667,5.7,41.0,82,100,8.99,overcast clouds
223,Ancud,CL,-41.8697,-73.8203,53.6,76,20,8.05,few clouds
224,Kristiansund,NO,63.1115,7.732,33.8,80,75,19.57,snow
225,Lindsay,US,36.203,-119.0882,55.4,50,1,4.61,clear sky
226,Provideniya,RU,64.3833,-173.3,-3.84,99,99,7.96,overcast clouds
227,Pangody,RU,65.85,74.4859,31.21,92,91,20.24,overcast clouds
228,Sorong,ID,-0.8833,131.25,79.9,80,100,3.02,overcast clouds
229,Kampar,MY,4.3,101.15,84.0,78,20,2.3,few clouds
230,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,82,75,5.75,broken clouds
231,Sitka,US,57.0531,-135.33,32.0,93,90,10.36,snow
232,Ahipara,NZ,-35.1667,173.1667,66.33,86,100,19.55,overcast clouds
233,Shimoda,JP,34.6667,138.95,41.0,70,50,3.0,scattered clouds
234,San Luis,AR,-33.295,-66.3356,61.14,90,100,15.05,overcast clouds
235,Robe,AU,-37.1833,139.75,59.74,70,100,16.62,overcast clouds
